Mineral_Commodity,Year,Note,Quantity,Data_type,Unit_MEAS,Form,Geographic_Region,Figure_Use,Data Sources,,,,,,,,,,,,,,,,
Cobalt,2019,reported,2911,Production,Metric tons,"Ore, Cobalt content",Papua New Guinea,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2019,estimated,4300,Production,Metric tons,"Ore, Cobalt content",Philippines,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2019,reported,9400,Production,Metric tons,"Ore, Cobalt content",Russia,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2019,reported,1027,Production,Metric tons,"Ore, Cobalt content",South Africa,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2019,rounded,153000,Production,Metric tons,"Ore, Cobalt content",Total,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2019,estimated,610,Production,Metric tons,"Ore, Cobalt content",Turkey,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2019,estimated,500,Production,Metric tons,"Ore, Cobalt content",United States,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2019,reported,878,Production,Metric tons,"Ore, Cobalt content",Zambia,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2019,reported,402,Production,Metric tons,"Ore, Cobalt content",Zimbabwe,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
Cobalt,2020,revised,5631,Production,Metric tons,"Ore, Cobalt content",Australia,Figure 2 of the World Minerals Outlook (2025),"Minerals Yearbook tables-only release 2023, Table 7, COBALT: WORLD PRODUCTION, BY COUNTRY OR LOCALITY",,,,,,,,,,,,,,,,
